Invoice Date,Customer Code,Material Code,Total
4/30/2016,868275,143143,8
4/30/2016,868275,143195,5
4/30/2016,100922,143111,6
4/30/2016,100922,143142,5
4/30/2016,100922,220723,5
4/30/2016,100922,220948,20
4/30/2016,100922,222758,3
4/30/2016,103374,184006,3
4/30/2016,114602,143126,13
4/30/2016,114602,143129,8
4/30/2016,114602,143143,18
4/30/2016,114602,143198,6
4/30/2016,114602,143213,9
4/30/2016,114602,143231,3
4/30/2016,114602,143306,3
4/30/2016,114602,184006,3
4/30/2016,114602,436262,6
4/30/2016,117061,184006,3
4/30/2016,122331,187546,3
4/30/2016,122331,220706,3
4/30/2016,122331,220724,3
4/30/2016,122331,220725,6
4/30/2016,122331,222755,3
4/30/2016,122331,222757,6
4/30/2016,122331,231229,3
4/30/2016,122331,306582,3
4/30/2016,122331,306693,2
4/30/2016,122331,306694,3
4/30/2016,122331,436231,3
4/30/2016,122331,436262,3
4/30/2016,122331,436294,2
4/30/2016,128543,187550,6
4/30/2016,128543,228913,6
4/30/2016,165873,222757,5
4/30/2016,813502,143143,3
4/30/2016,813502,143196,6
4/30/2016,813502,143197,6
4/30/2016,813502,182187,15
4/30/2016,813502,436110,3
4/30/2016,817901,143169,7
4/30/2016,817901,184006,6
4/30/2016,817901,231213,2
4/30/2016,817901,436262,22
4/30/2016,847471,180189,3
4/30/2016,847471,187546,3
4/30/2016,847471,436262,9
5/31/2016,100922,180187,18
5/31/2016,100922,187546,6
5/31/2016,100922,187548,9
5/31/2016,100922,187549,16
5/31/2016,100922,187550,10
5/31/2016,103374,180187,13
5/31/2016,103374,180199,18
5/31/2016,103374,182187,21
5/31/2016,103374,184006,7
5/31/2016,103374,186547,22
5/31/2016,103374,187549,17
5/31/2016,103374,195051,33
5/31/2016,114602,143111,18
5/31/2016,114602,143142,10
5/31/2016,114602,143169,13
5/31/2016,114602,143175,11
5/31/2016,114602,143213,9
5/31/2016,114602,143215,39
5/31/2016,114602,143228,12
5/31/2016,114602,143306,6
5/31/2016,114602,143307,31
5/31/2016,114602,143308,37
5/31/2016,114602,186547,8
5/31/2016,114602,187546,9
5/31/2016,114602,187547,24
5/31/2016,114602,187548,6
5/31/2016,114602,187549,8
5/31/2016,114602,187550,14
5/31/2016,114602,222757,7
5/31/2016,114602,436262,12
5/31/2016,115048,220708,4
5/31/2016,115048,220726,40
5/31/2016,115048,220729,6
5/31/2016,122331,143142,7
5/31/2016,122331,143176,6
5/31/2016,122331,180199,38
5/31/2016,122331,187546,6
5/31/2016,122331,187549,58
5/31/2016,122331,220708,6
5/31/2016,122331,220718,5
5/31/2016,122331,220720,12
5/31/2016,122331,221068,12
5/31/2016,122331,222758,12
5/31/2016,122331,436259,5
5/31/2016,122331,436262,21
5/31/2016,160245,220707,3
5/31/2016,160245,220718,3
5/31/2016,160245,220719,3
5/31/2016,160245,220720,3
5/31/2016,160245,220721,6
5/31/2016,162906,220725,8
5/31/2016,162906,221068,68
5/31/2016,165873,187548,2
5/31/2016,165873,187549,38
5/31/2016,165873,195051,10
5/31/2016,165873,228913,41
5/31/2016,165873,436111,32
5/31/2016,813502,306582,8
5/31/2016,813502,436262,18
5/31/2016,813502,442562,38
5/31/2016,847471,180187,12
5/31/2016,847471,186547,12
5/31/2016,847471,187549,15
5/31/2016,847471,220707,8
5/31/2016,847471,220719,9
5/31/2016,847471,220720,18
5/31/2016,847471,220721,6
5/31/2016,847471,222757,3
5/31/2016,847471,228913,6
5/31/2016,847471,436110,10
5/31/2016,847471,436259,3
5/31/2016,847471,436262,3
5/31/2016,847471,442560,3
5/31/2016,847471,442562,6
5/31/2016,868275,143144,10
5/31/2016,868275,143197,9
5/31/2016,868275,143221,25
5/31/2016,868275,452346,3
5/31/2016,100922,143110,6
5/31/2016,100922,143112,7
5/31/2016,100922,143113,8
5/31/2016,100922,143118,8
5/31/2016,100922,143119,11
5/31/2016,100922,143126,13
5/31/2016,100922,143127,5
5/31/2016,100922,143130,11
5/31/2016,100922,143141,25
5/31/2016,100922,143147,10
5/31/2016,100922,143149,23
5/31/2016,100922,143150,15
5/31/2016,100922,143168,15
5/31/2016,100922,143215,3
5/31/2016,100922,143218,6
5/31/2016,100922,143219,9
5/31/2016,100922,143270,12
5/31/2016,100922,143306,22
5/31/2016,100922,143307,31
5/31/2016,100922,143308,20
5/31/2016,100922,180189,6
5/31/2016,100922,180190,9
5/31/2016,100922,180199,38
5/31/2016,100922,180201,23
5/31/2016,100922,180202,9
5/31/2016,100922,182187,14
5/31/2016,100922,186547,25
5/31/2016,100922,196860,6
5/31/2016,100922,220707,17
5/31/2016,100922,220718,14
5/31/2016,100922,220719,6
5/31/2016,100922,220724,20
5/31/2016,100922,220725,26
5/31/2016,100922,220726,5
5/31/2016,100922,220969,16
5/31/2016,100922,221068,24
5/31/2016,100922,221069,15
5/31/2016,100922,222757,12
5/31/2016,100922,231556,18
5/31/2016,100922,436258,5
5/31/2016,100922,436262,3
5/31/2016,114602,143112,11
5/31/2016,114602,143114,3
5/31/2016,114602,143125,12
5/31/2016,114602,143126,13
5/31/2016,114602,143127,5
5/31/2016,114602,143129,3
5/31/2016,114602,143132,2
5/31/2016,114602,143143,43
5/31/2016,114602,143147,13
5/31/2016,114602,143170,10
5/31/2016,114602,143171,3
5/31/2016,114602,143176,8
5/31/2016,114602,143177,14
5/31/2016,114602,143195,32
5/31/2016,114602,143196,33
5/31/2016,114602,143197,30
5/31/2016,114602,143198,8
5/31/2016,114602,143214,6
5/31/2016,114602,143218,4
5/31/2016,114602,143219,33
5/31/2016,114602,143222,22
5/31/2016,114602,143224,4
5/31/2016,114602,143270,9
5/31/2016,114602,180189,11
5/31/2016,114602,180199,12
5/31/2016,114602,180201,14
5/31/2016,114602,182187,11
5/31/2016,114602,184006,7
5/31/2016,114602,192797,9
5/31/2016,114602,220707,9
5/31/2016,114602,220723,2
5/31/2016,114602,220724,20
5/31/2016,114602,220726,41
5/31/2016,114602,220727,10
5/31/2016,114602,220729,9
5/31/2016,114602,220968,27
5/31/2016,114602,221880,25
5/31/2016,114602,222758,6
5/31/2016,114602,470247,5
5/31/2016,115048,182187,12
5/31/2016,115048,184006,6
5/31/2016,115048,187550,52
5/31/2016,115048,195051,6
5/31/2016,115048,220968,8
5/31/2016,115048,221071,6
5/31/2016,115048,228367,11
5/31/2016,115048,228368,7
5/31/2016,115048,252183,2
5/31/2016,117061,180189,15
5/31/2016,117061,180201,20
5/31/2016,117061,184006,12
5/31/2016,117061,187546,15
5/31/2016,117061,195051,28
5/31/2016,117061,220706,21
5/31/2016,117061,220708,16
5/31/2016,117061,220718,11
5/31/2016,117061,220726,3
5/31/2016,117061,306582,3
5/31/2016,117061,436231,49
5/31/2016,117061,436259,3
5/31/2016,122331,186547,23
5/31/2016,122331,186548,11
5/31/2016,122331,187548,15
5/31/2016,122331,187550,30
5/31/2016,122331,195051,30
5/31/2016,122331,220706,3
5/31/2016,122331,220707,3
5/31/2016,122331,220721,3
5/31/2016,122331,221070,14
5/31/2016,122331,222759,5
5/31/2016,122331,228913,28
5/31/2016,122331,436110,24
5/31/2016,128543,143197,6
5/31/2016,128543,143222,6
5/31/2016,128543,143229,6
5/31/2016,128543,221068,3
5/31/2016,150962,143196,5
5/31/2016,150962,143229,3
5/31/2016,150962,222758,3
5/31/2016,150962,231231,3
5/31/2016,150962,231276,6
5/31/2016,160245,180187,33
5/31/2016,160245,180199,65
5/31/2016,160245,182187,23
5/31/2016,160245,184006,12
5/31/2016,160245,186547,50
5/31/2016,160245,195051,49
5/31/2016,160245,436110,27
5/31/2016,160245,436262,12
5/31/2016,162906,220707,6
5/31/2016,162906,220726,11
5/31/2016,162906,221069,39
5/31/2016,165873,143229,9
5/31/2016,165873,180187,6
5/31/2016,165873,180202,6
5/31/2016,165873,186548,9
5/31/2016,165873,187550,15
5/31/2016,165873,222757,8
5/31/2016,165873,436110,28
5/31/2016,813502,180187,30
5/31/2016,813502,180199,49
5/31/2016,813502,187550,3
5/31/2016,813502,195051,32
5/31/2016,813502,220718,12
5/31/2016,813502,220719,21
5/31/2016,813502,220726,33
5/31/2016,813502,436110,27
5/31/2016,813502,436231,24
5/31/2016,847471,221068,3
5/31/2016,847471,221069,6
5/31/2016,856737,143169,14
5/31/2016,868275,143127,14
5/31/2016,868275,143143,12
5/31/2016,868275,177232,10
5/31/2016,100922,143111,19
5/31/2016,100922,143116,5
5/31/2016,100922,143125,12
5/31/2016,100922,143132,5
5/31/2016,100922,143133,5
5/31/2016,100922,143143,2
5/31/2016,100922,143169,8
5/31/2016,100922,143170,9
5/31/2016,100922,143175,8
